Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.8557046979865772,0.8903420523138833,0.616124205013094,0.6476088331545802,0.6161242050130938,4.195390939712524
1,0.8422818791946308,0.830693696547355,0.5792349726775956,0.5942054179342315,0.5792349726775957,3.7209010124206543
2,0.8657718120805369,0.8277162977867203,0.6085833333333334,0.6399661713181104,0.6085833333333334,3.9846243858337402
3,0.8624161073825504,0.841146658219829,0.58975,0.6143673263264211,0.58975,3.688401460647583
4,0.8523489932885906,0.8105552690390235,0.635166479610924,0.6682186234817813,0.6351664796109241,3.938082695007324
5,0.8791946308724832,0.8511198945981555,0.6719354838709677,0.7156488549618321,0.6719354838709677,4.030239105224609
6,0.825503355704698,0.8291666666666666,0.6107772435897436,0.632343171680744,0.6107772435897436,3.9614646434783936
7,0.8657718120805369,0.8822916666666667,0.59175,0.6179976926035123,0.59175,3.7633934020996094
8,0.8557046979865772,0.8712301587301587,0.6362014995996215,0.6720665387076136,0.6362014995996216,4.051807641983032
9,0.889261744966443,0.8774703557312253,0.687853454634866,0.7361770623742454,0.687853454634866,4.008528470993042
10,0.8489932885906041,0.8726618705035971,0.643321574323857,0.6785329018338727,0.6433215743238568,3.952669620513916
11,0.8053691275167785,0.8184523809523809,0.6005639097744361,0.6133679312813171,0.6005639097744361,4.068766355514526
12,0.8489932885906041,0.8557312252964426,0.6494085909939822,0.6850560135277953,0.6494085909939823,3.9882266521453857
13,0.8120805369127517,0.7432273262661955,0.571418689908003,0.5777327935222673,0.5714186899080032,3.950955629348755
14,0.8859060402684564,0.8842369688088758,0.6555904043400864,0.7024201127819549,0.6555904043400864,3.9191110134124756
15,0.8322147651006712,0.7934397163120568,0.5951149425287356,0.6142694418556487,0.5951149425287355,3.9530792236328125
16,0.8657718120805369,0.8765873015873016,0.6440497874924105,0.6840542832909244,0.6440497874924104,4.004873037338257
17,0.8456375838926175,0.850954100051573,0.6412118696825068,0.674765113409889,0.6412118696825067,3.9545738697052
18,0.8489932885906041,0.8936507936507936,0.6372345576537317,0.6716695639399652,0.6372345576537318,4.076779842376709
19,0.8389261744966443,0.8726639214444092,0.5856446094489336,0.6016042780748663,0.5856446094489336,3.6743342876434326
20,0.8288590604026845,0.803030303030303,0.6242823370482945,0.6500978473581214,0.6242823370482944,3.948843002319336
21,0.8523489932885906,0.7885507993811243,0.6292645360030805,0.6605571088329709,0.6292645360030804,4.014895677566528
22,0.8154362416107382,0.9048442906574394,0.5703125,0.57070640928259,0.5703125,3.7760636806488037
23,0.8657718120805369,0.8111702127659575,0.617,0.6499060150375939,0.617,3.969661235809326
24,0.8389261744966443,0.8204946996466431,0.5990390915046954,0.6208651399491094,0.5990390915046954,4.014696359634399
