Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.5517241379310345,0.59375,0.75,0.49122807017543857,0.75,0.31332969665527344
1,0.5344827586206896,0.5488095238095239,0.6547169811320754,0.4476190476190476,0.6547169811320754,0.290494441986084
2,0.4482758620689655,0.5354037267080746,0.6075471698113208,0.3894736842105263,0.6075471698113208,0.28929567337036133
3,0.3448275862068966,0.4457070707070707,0.30092592592592593,0.275,0.30092592592592593,0.23923015594482422
4,0.6551724137931034,0.6296296296296297,0.803921568627451,0.5839311334289814,0.803921568627451,0.2842826843261719
5,0.46551724137931033,0.5496894409937888,0.6282051282051282,0.41528455284552845,0.6282051282051282,0.28226637840270996
6,0.7931034482758621,0.5897435897435898,0.5583333333333333,0.565,0.5583333333333332,0.2792854309082031
7,0.29310344827586204,0.5543478260869565,0.6132075471698113,0.2826546003016591,0.6132075471698113,0.2822904586791992
8,0.5172413793103449,0.5436081242532855,0.6022408963585434,0.4520917678812416,0.6022408963585435,0.2812800407409668
9,0.6206896551724138,0.5805288461538461,0.7147435897435898,0.5252976190476191,0.7147435897435899,0.2832605838775635
10,0.5862068965517241,0.5726190476190476,0.6955128205128205,0.5007173601147776,0.6955128205128206,0.28125500679016113
11,0.5689655172413793,0.5821428571428572,0.6932773109243697,0.5039343140608963,0.6932773109243697,0.2822563648223877
12,0.5344827586206896,0.5745192307692308,0.6736694677871148,0.4785214785214785,0.6736694677871149,0.28125572204589844
13,0.5517241379310345,0.5901442307692308,0.6875,0.5039473684210527,0.6875,0.28325891494750977
14,0.5862068965517241,0.5862068965517242,0.7735849056603774,0.5007173601147776,0.7735849056603774,0.28125572204589844
15,0.4827586206896552,0.5833333333333334,0.7115384615384616,0.44015444015444016,0.7115384615384616,0.2822580337524414
16,0.4827586206896552,0.5240384615384616,0.5641025641025641,0.41295546558704455,0.5641025641025641,0.2842578887939453
17,0.5344827586206896,0.5860606060606061,0.6775,0.49073170731707316,0.6775,0.25122809410095215
18,0.5172413793103449,0.5588942307692308,0.657051282051282,0.4520917678812416,0.657051282051282,0.27825307846069336
19,0.43103448275862066,0.5328282828282829,0.5981132075471698,0.3775609756097561,0.5981132075471698,0.2572338581085205
20,0.5689655172413793,0.6323529411764706,0.7448979591836735,0.5380694488690666,0.7448979591836735,0.2822563648223877
21,0.5862068965517241,0.6129032258064516,0.7647058823529411,0.5303643724696356,0.7647058823529411,0.24422168731689453
22,0.5689655172413793,0.6428571428571428,0.7395833333333334,0.5461658841940532,0.7395833333333333,0.28125524520874023
23,0.5689655172413793,0.5096969696969698,0.537037037037037,0.4252873563218391,0.5370370370370371,0.27878260612487793
24,0.6206896551724138,0.553921568627451,0.641025641025641,0.5054263565891473,0.641025641025641,0.282285213470459
