Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.8448275862068966,0.603641456582633,0.6185897435897436,0.6101568334578044,0.6185897435897436,0.24932098388671875
1,0.8793103448275862,0.6378205128205128,0.6622641509433962,0.6484848484848484,0.6622641509433962,0.23343133926391602
2,0.8275862068965517,0.5322128851540616,0.5433962264150943,0.5352564102564102,0.5433962264150943,0.24126148223876953
3,0.8275862068965517,0.46153846153846156,0.4444444444444444,0.4528301886792453,0.4444444444444444,0.24522900581359863
4,0.7586206896551724,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.43137254901960786,0.2310042381286621
5,0.8275862068965517,0.5352564102564102,0.5352564102564102,0.5352564102564102,0.5352564102564102,0.25574421882629395
6,0.8448275862068966,0.7606060606060605,0.5895833333333333,0.6101568334578044,0.5895833333333332,0.25823473930358887
7,0.8275862068965517,0.5322128851540616,0.5433962264150943,0.5352564102564102,0.5433962264150943,0.24322080612182617
8,0.8103448275862069,0.5256410256410257,0.5224089635854342,0.5235250186706497,0.5224089635854341,0.22820734977722168
9,0.7758620689655172,0.5045351473922902,0.5064102564102564,0.5023102310231023,0.5064102564102564,0.26323938369750977
10,0.8448275862068966,0.5528301886792453,0.5448717948717949,0.548051948051948,0.5448717948717949,0.2522289752960205
11,0.8103448275862069,0.5256410256410257,0.5224089635854342,0.5235250186706497,0.5224089635854341,0.2472245693206787
12,0.7931034482758621,0.5126050420168067,0.5126050420168067,0.5126050420168067,0.5126050420168067,0.25122809410095215
13,0.8448275862068966,0.4298245614035088,0.49,0.45794392523364486,0.49,0.2622387409210205
14,0.7931034482758621,0.5147392290249433,0.5245283018867924,0.5126050420168067,0.5245283018867924,0.2472240924835205
15,0.8275862068965517,0.5352564102564102,0.5352564102564102,0.5352564102564102,0.5352564102564102,0.24322104454040527
16,0.8448275862068966,0.5528301886792453,0.5448717948717949,0.548051948051948,0.5448717948717949,0.23745512962341309
17,0.8620689655172413,0.6944444444444444,0.605,0.6282051282051282,0.605,0.23921728134155273
18,0.7758620689655172,0.5045351473922902,0.5064102564102564,0.5023102310231023,0.5064102564102564,0.24121952056884766
19,0.8793103448275862,0.587962962962963,0.5716981132075472,0.5784008307372793,0.5716981132075472,0.2642397880554199
20,0.7931034482758621,0.5245283018867924,0.5147392290249433,0.5126050420168067,0.5147392290249433,0.21819806098937988
21,0.7758620689655172,0.4326923076923077,0.4411764705882353,0.4368932038834951,0.4411764705882353,0.2602365016937256
22,0.8103448275862069,0.6245283018867924,0.56875,0.5788778877887789,0.56875,0.23421287536621094
23,0.896551724137931,0.4642857142857143,0.48148148148148145,0.4727272727272727,0.4814814814814815,0.26123738288879395
24,0.8448275862068966,0.5528301886792453,0.5448717948717949,0.548051948051948,0.5448717948717949,0.24803543090820312
