Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0833587646484375
1,0.9310344827586207,0.9649122807017544,0.6,0.6484848484848484,0.6,1.1380336284637451
2,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.0859882831573486
3,0.9310344827586207,0.46551724137931033,0.5,0.48214285714285715,0.5,1.0866773128509521
4,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.1002836227416992
5,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0787880420684814
6,0.8448275862068966,0.9210526315789473,0.55,0.548051948051948,0.55,1.0736241340637207
7,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.1050050258636475
8,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.09462308883667
9,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.080981969833374
10,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.089035987854004
11,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.1370866298675537
12,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.1017329692840576
13,0.8793103448275862,0.9385964912280702,0.5625,0.5784008307372793,0.5625,1.0939953327178955
14,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.113156795501709
15,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0959956645965576
16,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0930194854736328
17,0.8620689655172413,0.43103448275862066,0.5,0.46296296296296297,0.5,1.082322597503662
18,0.896551724137931,0.4482758620689655,0.5,0.4727272727272727,0.5,1.0877330303192139
19,0.9137931034482759,0.45689655172413796,0.5,0.4774774774774775,0.5,1.1150128841400146
20,0.8448275862068966,0.4224137931034483,0.5,0.45794392523364486,0.5,1.0923964977264404
21,0.8793103448275862,0.4396551724137931,0.5,0.46788990825688076,0.5,1.106544017791748
22,0.8448275862068966,0.9210526315789473,0.55,0.548051948051948,0.55,1.091130018234253
23,0.9310344827586207,0.46551724137931033,0.5,0.48214285714285715,0.5,1.0992369651794434
24,0.9137931034482759,0.956140350877193,0.5833333333333334,0.6199213630406291,0.5833333333333334,1.0784814357757568
