Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.4482758620689655,0.5789473684210527,0.6923076923076923,0.41414141414141414,0.6923076923076923,0.35535216331481934
1,0.46551724137931033,0.5379901960784313,0.6169811320754717,0.4012654012654012,0.6169811320754717,0.3943963050842285
2,0.39655172413793105,0.5625,0.6698113207547169,0.3646322378716745,0.6698113207547169,0.4134995937347412
3,0.3103448275862069,0.5044642857142857,0.5138888888888888,0.2795031055900621,0.5138888888888888,0.41138410568237305
4,0.5344827586206896,0.5745192307692308,0.6736694677871148,0.4785214785214785,0.6736694677871149,0.41338658332824707
5,0.39655172413793105,0.573170731707317,0.6634615384615384,0.374036386062288,0.6634615384615384,0.3713374137878418
6,0.5689655172413793,0.6163636363636363,0.7,0.5380694488690666,0.7,0.4033663272857666
7,0.27586206896551724,0.5531914893617021,0.6037735849056604,0.26802884615384615,0.6037735849056604,0.42038631439208984
8,0.39655172413793105,0.5472222222222222,0.5952380952380952,0.374036386062288,0.5952380952380953,0.4103727340698242
9,0.5,0.5857142857142857,0.7211538461538461,0.4530081300813008,0.7211538461538461,0.41237640380859375
10,0.5172413793103449,0.5588942307692308,0.657051282051282,0.4520917678812416,0.657051282051282,0.39736080169677734
11,0.4827586206896552,0.5639751552795031,0.6442577030812324,0.44015444015444016,0.6442577030812324,0.3910527229309082
12,0.43103448275862066,0.5875,0.6764705882352942,0.40980573543015725,0.6764705882352942,0.41159939765930176
13,0.4482758620689655,0.6,0.6799999999999999,0.43137254901960786,0.6799999999999999,0.39943957328796387
14,0.4827586206896552,0.5714285714285714,0.7169811320754718,0.4276315789473684,0.7169811320754718,0.4209432601928711
15,0.41379310344827586,0.5407894736842105,0.5993589743589743,0.37752525252525254,0.5993589743589745,0.3849496841430664
16,0.46551724137931033,0.5206060606060606,0.5544871794871795,0.4012654012654012,0.5544871794871795,0.4434027671813965
17,0.4482758620689655,0.6,0.6799999999999999,0.43137254901960786,0.6799999999999999,0.40937304496765137
18,0.5172413793103449,0.5588942307692308,0.657051282051282,0.4520917678812416,0.657051282051282,0.42038393020629883
19,0.3620689655172414,0.5222222222222223,0.560377358490566,0.3283255086071987,0.560377358490566,0.4013693332672119
20,0.5,0.618421052631579,0.7040816326530612,0.4813444341658958,0.7040816326530612,0.40146946907043457
21,0.5517241379310345,0.6060606060606061,0.7450980392156863,0.5039473684210527,0.7450980392156863,0.43439817428588867
22,0.5344827586206896,0.6351351351351351,0.71875,0.517113783533765,0.71875,0.43489980697631836
23,0.5,0.529868578255675,0.6157407407407407,0.4067019400352734,0.6157407407407407,0.37886905670166016
24,0.3793103448275862,0.5347222222222222,0.5801282051282052,0.3515527950310559,0.5801282051282052,0.4278120994567871
