Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.835820895522388,0.8088888888888889,0.6202838352371063,0.6470306513409961,0.6202838352371063,1.847306489944458
1,0.8656716417910447,0.8502604166666667,0.609172077922078,0.6410714285714286,0.609172077922078,1.7591650485992432
2,0.8582089552238806,0.7341085271317829,0.5662280701754385,0.5809053497942387,0.5662280701754385,1.7563674449920654
3,0.835820895522388,0.8186046511627907,0.5754128440366972,0.5871148459383754,0.5754128440366972,1.7235655784606934
4,0.8432835820895522,0.9192307692307693,0.58,0.5939979800894533,0.58,1.7118043899536133
5,0.8134328358208955,0.7826923076923077,0.5508826583592938,0.5440315775146318,0.5508826583592938,1.7849185466766357
6,0.8059701492537313,0.8032258064516129,0.6151960784313726,0.6329540665823852,0.6151960784313725,1.7355766296386719
7,0.8059701492537313,0.8031007751937984,0.5642036124794746,0.5620915032679739,0.5642036124794746,1.716559886932373
8,0.8283582089552238,0.7186046511627907,0.553409090909091,0.5553311210503535,0.5534090909090909,1.7127559185028076
9,0.7835820895522388,0.6158605174353206,0.5347035040431267,0.5234825260576333,0.5347035040431267,1.7084507942199707
10,0.8134328358208955,0.9053030303030303,0.537037037037037,0.5166642620112538,0.537037037037037,1.7075529098510742
11,0.8507462686567164,0.924812030075188,0.5238095238095238,0.5048041389504804,0.5238095238095238,1.7558040618896484
12,0.8134328358208955,0.7696428571428571,0.6418728468524898,0.6661684105630294,0.6418728468524898,1.8692564964294434
13,0.8656716417910447,0.7722473604826546,0.7121034077555817,0.7355263157894737,0.7121034077555817,1.872673511505127
14,0.8432835820895522,0.7980769230769231,0.5607128867998433,0.5675426463808206,0.5607128867998433,1.7335748672485352
15,0.8208955223880597,0.9076923076923077,0.5714285714285714,0.5741525423728814,0.5714285714285714,1.7560992240905762
16,0.8208955223880597,0.861049519586105,0.6465646564656465,0.6737012987012987,0.6465646564656465,1.82846999168396
17,0.8432835820895522,0.7591145833333333,0.5779475127301215,0.5939979800894533,0.5779475127301213,1.8612174987792969
18,0.8283582089552238,0.7916666666666667,0.6017653167185877,0.6220723482526058,0.6017653167185878,1.8422420024871826
19,0.8507462686567164,0.9224806201550387,0.6,0.6246498599439776,0.6,1.851924180984497
20,0.8283582089552238,0.9122137404580153,0.5576923076923077,0.5553311210503535,0.5576923076923077,1.7650458812713623
21,0.8208955223880597,0.90625,0.6,0.6149425287356322,0.6,1.8727014064788818
22,0.8134328358208955,0.9031007751937985,0.5833333333333334,0.589209074187615,0.5833333333333334,1.7420222759246826
23,0.8507462686567164,0.835920177383592,0.6573208722741433,0.6933638443935927,0.6573208722741433,1.8815691471099854
24,0.8059701492537313,0.7413333333333333,0.5891625615763547,0.6013729977116704,0.5891625615763546,1.8475244045257568
