Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.8208955223880597,0.8108527131782945,0.5694011768778124,0.5741525423728814,0.5694011768778124,1.7209844589233398
1,0.8656716417910447,0.9307692307692308,0.5909090909090909,0.6166560712015258,0.5909090909090909,1.7024915218353271
2,0.8582089552238806,0.7646310432569974,0.5456140350877193,0.5481810115350487,0.5456140350877192,1.730098009109497
3,0.835820895522388,0.7784026996625422,0.5908256880733945,0.6096398305084746,0.5908256880733944,1.830845832824707
4,0.8283582089552238,0.9128787878787878,0.54,0.5263562317504227,0.54,1.7199032306671143
5,0.8134328358208955,0.7826923076923077,0.5508826583592938,0.5440315775146318,0.5508826583592938,1.7475800514221191
6,0.8507462686567164,0.8298245614035088,0.7303921568627452,0.7613960113960114,0.7303921568627451,1.8670806884765625
7,0.7985074626865671,0.7356770833333333,0.5594417077175697,0.5563458001226241,0.5594417077175697,1.7250971794128418
8,0.8880597014925373,0.8693579148124603,0.7200757575757576,0.7648297648297648,0.7200757575757575,1.867079496383667
9,0.8059701492537313,0.7395833333333333,0.5619946091644205,0.5620915032679739,0.5619946091644205,1.7341101169586182
10,0.8283582089552238,0.9115384615384615,0.5740740740740741,0.5805090513134612,0.5740740740740741,1.6911876201629639
11,0.8656716417910447,0.7941507311586051,0.6101980615254952,0.6410714285714286,0.6101980615254952,1.8470921516418457
12,0.7761194029850746,0.72264631043257,0.5274036955840902,0.4947209653092006,0.5274036955840902,1.7344565391540527
13,0.8507462686567164,0.7862767154105736,0.599686643164904,0.6246498599439776,0.599686643164904,1.7220993041992188
14,0.8283582089552238,0.6692307692307693,0.5344692518605562,0.5263562317504227,0.5344692518605562,1.7236363887786865
15,0.8208955223880597,0.8268229166666667,0.5845687331536388,0.5957767722473605,0.5845687331536389,1.748128890991211
16,0.8059701492537313,0.811529933481153,0.6264626462646264,0.6465097402597403,0.6264626462646264,1.8426735401153564
17,0.8432835820895522,0.9204545454545454,0.5434782608695652,0.5367901234567901,0.5434782608695652,1.706550121307373
18,0.8134328358208955,0.7826923076923077,0.5508826583592938,0.5440315775146318,0.5508826583592938,1.7120978832244873
19,0.8283582089552238,0.9128787878787878,0.54,0.5263562317504227,0.54,1.687758207321167
20,0.8208955223880597,0.9090909090909092,0.5384615384615384,0.5214285714285715,0.5384615384615384,1.6947579383850098
21,0.7910447761194029,0.7711538461538461,0.5451923076923078,0.5284062342885872,0.5451923076923078,1.6815276145935059
22,0.7910447761194029,0.7711538461538461,0.5451923076923078,0.5284062342885872,0.5451923076923078,1.692324161529541
23,0.8731343283582089,0.89275956284153,0.699030806507442,0.7449333781211511,0.6990308065074421,1.825810194015503
24,0.8208955223880597,0.7782705099778271,0.6236453201970443,0.6473684210526316,0.6236453201970444,1.8107590675354004
