Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.8283582089552238,0.7916666666666667,0.6017653167185877,0.6220723482526058,0.6017653167185878,2.11112380027771
1,0.8731343283582089,0.9341085271317829,0.6136363636363636,0.6499154756416168,0.6136363636363636,1.957777500152588
2,0.9104477611940298,0.9056451612903226,0.7206140350877193,0.7747899159663865,0.7206140350877193,2.1292176246643066
3,0.7985074626865671,0.5326923076923077,0.5062385321100917,0.4779974029721541,0.5062385321100917,1.9240288734436035
4,0.8283582089552238,0.9128787878787878,0.54,0.5263562317504227,0.54,1.920320749282837
5,0.8208955223880597,0.8108527131782945,0.5694011768778124,0.5741525423728814,0.5694011768778124,1.955406665802002
6,0.7985074626865671,0.7408963585434174,0.6317401960784313,0.6516799845961297,0.6317401960784313,1.9519755840301514
7,0.7985074626865671,0.775,0.5469622331691297,0.5334622823984526,0.5469622331691297,1.927150011062622
8,0.8432835820895522,0.8224806201550388,0.5787878787878789,0.5939979800894533,0.5787878787878789,1.9429781436920166
9,0.7835820895522388,0.5992248062015504,0.5215633423180593,0.49890393294648616,0.5215633423180592,1.932358741760254
10,0.8134328358208955,0.9053030303030303,0.537037037037037,0.5166642620112538,0.537037037037037,1.9416210651397705
11,0.8656716417910447,0.834108527131783,0.5908133164770333,0.6166560712015258,0.5908133164770333,2.0865743160247803
12,0.7761194029850746,0.72264631043257,0.5274036955840902,0.4947209653092006,0.5274036955840902,1.9347500801086426
13,0.8507462686567164,0.7531411677753141,0.6341558950254602,0.6631473102061337,0.6341558950254603,2.118924140930176
14,0.8432835820895522,0.7980769230769231,0.5607128867998433,0.5675426463808206,0.5607128867998433,1.951282024383545
15,0.8283582089552238,0.8419572553430821,0.6024258760107817,0.6220723482526058,0.6024258760107816,2.1197755336761475
16,0.7910447761194029,0.8914728682170543,0.5757575757575758,0.5707093821510297,0.5757575757575758,1.9305357933044434
17,0.8208955223880597,0.5826972010178118,0.5127301214257736,0.48887476160203436,0.5127301214257736,1.9027292728424072
18,0.8208955223880597,0.9083969465648856,0.5555555555555556,0.5495798319327732,0.5555555555555556,1.917405605316162
19,0.8507462686567164,0.9224806201550387,0.6,0.6246498599439776,0.6,2.138697385787964
20,0.8507462686567164,0.8621031746031746,0.6299857549857549,0.6631473102061337,0.6299857549857549,2.135185718536377
21,0.7761194029850746,0.6401515151515151,0.5118589743589744,0.4676906779661017,0.5118589743589744,1.952867031097412
22,0.7985074626865671,0.8969465648854962,0.55,0.5334622823984526,0.55,1.884411334991455
23,0.8582089552238806,0.8774193548387097,0.661993769470405,0.7021177021177021,0.6619937694704049,2.1216084957122803
24,0.7985074626865671,0.775,0.5469622331691297,0.5334622823984526,0.5469622331691297,1.8980937004089355
