Run,Accuracy,Precision,Recall,F1,AUC,Processing Time (s)
0,0.835820895522388,0.7528559487322374,0.8141225337487019,0.774203431372549,0.8141225337487019,0.8192248344421387
1,0.8208955223880597,0.6791666666666667,0.6919642857142857,0.6850763807285547,0.6919642857142857,0.892810583114624
2,0.8134328358208955,0.6688013136288998,0.725438596491228,0.6878203336128972,0.7254385964912281,0.8092384338378906
3,0.8582089552238806,0.7670454545454546,0.7587155963302752,0.7627434535458019,0.7587155963302753,0.766697883605957
4,0.8059701492537313,0.6717235566793089,0.6495412844036698,0.6588327457892675,0.6495412844036696,0.7867484092712402
5,0.8059701492537313,0.6985115957078574,0.6985115957078574,0.6985115957078574,0.6985115957078574,0.7907681465148926
6,0.8134328358208955,0.7433448167867209,0.7380514705882353,0.740611691831204,0.7380514705882353,0.8004415035247803
7,0.7985074626865671,0.7068014705882353,0.7216748768472906,0.7134711332858161,0.7216748768472907,0.8097844123840332
8,0.835820895522388,0.7254043126684636,0.7534090909090909,0.7375356125356125,0.753409090909091,0.8177530765533447
9,0.7835820895522388,0.6788286877544629,0.6923854447439353,0.6848592977049712,0.6923854447439354,0.8057348728179932
10,0.8582089552238806,0.7806267806267806,0.7727587400484597,0.7765686704695042,0.7727587400484597,0.828754186630249
11,0.835820895522388,0.6797385620915033,0.650653181626633,0.662700228832952,0.650653181626633,0.8107683658599854
12,0.8059701492537313,0.7264367816091954,0.7159411212026308,0.7208333333333333,0.7159411212026309,0.7884562015533447
13,0.8134328358208955,0.7002941176470588,0.7667450058754406,0.7214600482248275,0.7667450058754407,0.8207478523254395
14,0.8582089552238806,0.7507575757575757,0.7593027810419115,0.7548859150861653,0.7593027810419115,0.8246111869812012
15,0.8283582089552238,0.7402215299411561,0.7338274932614555,0.7369184805804524,0.7338274932614555,0.7342288494110107
16,0.8059701492537313,0.7405962663694623,0.759075907590759,0.7486291486291486,0.759075907590759,0.7987270355224609
17,0.8582089552238806,0.7526954177897573,0.7937720329024677,0.7699466883527605,0.7937720329024677,0.8047308921813965
18,0.8208955223880597,0.7195456325891108,0.6940117687781239,0.704954128440367,0.6940117687781239,0.7452034950256348
19,0.8134328358208955,0.6944444444444444,0.7003669724770643,0.6972982741483691,0.7003669724770643,0.8059499263763428
20,0.8432835820895522,0.7495412844036697,0.7421652421652422,0.74573055028463,0.7421652421652422,0.7917559146881104
21,0.8507462686567164,0.7852564102564102,0.7852564102564102,0.7852564102564102,0.7852564102564102,0.7693560123443604
22,0.7761194029850746,0.685,0.701602564102564,0.6920955882352942,0.701602564102564,0.841766357421875
23,0.8656716417910447,0.8040455120101138,0.7497403946002077,0.7715909090909091,0.7497403946002077,0.7482819557189941
24,0.7761194029850746,0.678067806780678,0.6949096880131362,0.6852489821484498,0.6949096880131362,0.8527746200561523
